name,inventory_type,extant_status,street_address,neighborhood,city,postal_code,explore_url,wikipedia_url,explore_id,identifier:mihp,building_use,associated_people,associated_organizations,full_description,year_built,chap_district,city_council_district,latitude,longitude,stabilization_potential,at_risk,featured-context,year_nonextant,year_start_significance,year_end_significance,property_type,related_context,related_theme,alternate_name,marker-color,marker-symbol,featured_description,description_source,description_status,state,geo_accuracy,marker-size,related_sources,chap_landmark,nr_district_contributing,nr_district,nr_landmark,image_url_manual,image_caption,image_credit,tags,streetview_url,streetname,possible_duplicate,explore_todo,Record Created
Eastern Female High School,building,Extant,249 N. Aisquith Street,Pleasant View Gardens,Baltimore,,,,,B-42,School building,,,,,,12,39.29457700,-76.60131300,,,,,,,,,Education,"Public School #116, Aisquith School House Apartments",d63b0e,school,,Maryland Inventory of Historic Places,missing,MD,9,medium,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.294577,-76.601313",,,,7/20/2017 12:48pm
Ebenezer A.M.E. Church,building,Extant,20-30 W. Montgomery Street,Federal Hill,Baltimore,21230,,,,B-3003,Religious building,,,"Erected in 1865, Ebenezer A.M.E. Church is the oldest standing church built by an African American congregation in Baltimore. The existing building stands on the site of an earlier church building erected in 1848 by the same congregation, which may have formed as early as 1816. Several outstanding religious leaders served the church, including Bishop Daniel A. Payne, who founded the nation’s oldest African American university. On April 5, 1887, Ebenezer A.M.E. Church hosted a large meeting of religious leaders and Baltimore residents to organize the Maryland Educational Union and ""secure colored teachers for the colored public schools of Baltimore city.""",1865,,11,39.28008700,-76.61530800,,,1831-1870,,,1976,,"1831-1870,1870-1905",Education,,d63b0e,religious-christian,,,excerpt,MD,,medium,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.280087,-76.615308",,,,7/20/2017 12:48pm
"Ebenezer A.M.E. Church, Parsonage",building,Extant,18 W. Montgomery Street,Federal Hill,Baltimore,21230,,,,B-3004,Religious building,,,,,,11,39.28005840,-76.61518640,,,1831-1870,,,1976,,"1831-1870,1870-1905",,,d63b0e,religious-christian,,Maryland Inventory of Historic Places,missing,MD,house,medium,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.2800584,-76.6151864",,,,7/20/2017 12:48pm
Edgar Allan Poe Homes,district,Extant,Fremont Avenue and Saratoga Street,Poppleton,Baltimore,,,,,B-5119,Public housing,,,An early public housing development located along West Saratoga Street.,1938,,11,39.29257400,-76.63087100,,,1929-1954,,,,,"1929-1954,1954-1968,1968-1976",,,d63b0e,town,,Maryland Inventory of Historic Places,notes,MD,3,medium,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.292574,-76.630871",,,,7/20/2017 12:48pm
Edgemere,district,Unknown,,,Baltimore County,,,,,,,,,This residential community was settled in the early to mid 20th century. It encompasses a variety of housing styles. The population remains primarily African American.,,,,39.23418100,-76.44548900,,,,,,,,,Housing,,,,,,,MD,,medium,,,,,,http://www.prattlibrary.org/uploadedImages/www/locations/central/african_american/Map_Images/edgemere.jpg,A mix of housing styles in the Edgemere Historic Survey District. E.H.T. Traceries for the Baltimore County Planning Commission.,E.H.T. Traceries/Baltimore County Office of Planning,,"https://maps.google.com/?layer=c&cbll=39.234181,-76.445489",,,,7/20/2017 12:48pm
Edmondson Village,district,Extant,Edmondson Avenue,Edmondson Village,Baltimore,,,,,,Neighborhood,,,,,,8,39.29684700,-76.68025300,,,,,,,,,Housing,,d63b0e,town,,,missing,MD,,medium,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.296847,-76.680253",,,,7/20/2017 12:48pm
Elk's Home,building,Extant,1528 Madison Avenue,Madison Park,Baltimore,21217,,,,,Community building,,,"According to a Baltimore Sun article published August 30, 1941, the Elk's Home was the site of a a mass meeting of fifty people organized ""in protest against alleged brutality on the part of policemen against Negroes.""",,Upton's Marble Hill,11,39.30523370,-76.63000330,,,,,,,Community Group,,Public Accommodation,,d63b0e,place-of-worship,,,draft,MD,house,medium,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.3052337,-76.6300033017066",Madison,,,7/20/2017 12:48pm
Elks Hall (I.B.P.O. of Elks),building,Nonextant,414 W. Hoffman Street,Upton,Baltimore,21201,,,,,,,,,,,11,39.30115587,-76.62568359,,,,,,,Community Group,,,,f59477,building,,,missing,MD,house,medium,Coleman Directories,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.3011558726208,-76.6256835932842",,,,7/20/2017 12:48pm
Enoch Pratt Free Library – Branch No. 1,building,Extant,664 Pitcher Street,Upton,Baltimore,21217,https://explore.baltimoreheritage.org/items/show/75,,75,B-2993,Library,,,"One of the original 1886 branch library buildings for the Enoch Pratt Free Library, this building was used as a library up until 1956. on April 23, 1943. The program rejected Kerr's application without consideration following a policy to exclude African American students. On October 5, 1943, Louise Kerr filed a landmark Civil Rights suit against the Enoch Pratt Library and won. She worked at Branch No. 1 after winning the suit.",1886,,11,39.30205130,-76.63580150,checked,,1929-1954,,1943,1956,,1929-1954,Public Accommodation,Greater Spirit of Truth Church,d63b0e,library,"Located at Pitcher Street and Fremont Avenue, Branch No. 1 is one of the first branch libraries built in 1886 for the Enoch Pratt Free Library. By the 1930s, nearly all the residents served by this location were African American but none of the employees. The library board of trustees voted on June 14, 1933 not to employee African Americans as assistants anywhere within the system. Following a successful lawsuit by Louise Kerr (an African American educator who grew up nearby at 1907 Division Street), the policy was overturned making Louise Kerr the first African American to enroll in the Enoch Pratt Free Library librarian training course. Branch No. 1 was the first location Kerr worked following the completion of the course. The building continued in use as a library up until 1956 and is in 2016 occupied by the Greater Spirit of Truth Church.",Maryland Inventory of Historic Places,notes,MD,place_of_worship,medium,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.3020513,-76.6358015",,,,7/20/2017 12:48pm
Enolia P. McMillan Building/Baltimore City Branch NAACP Offices,building,Extant,6 W. 26th Street,Charles Village,Baltimore,21218,,,,,,,,,,,12,39.31950300,-76.61794800,,,,,,,,,,,,,,,,MD,,,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.319503,-76.617948",,,,7/20/2017 12:48pm
Enon Baptist Church,building,Extant,601 N. Schroeder Street,Harlem Park,Baltimore,21217,,,,,Religious building,,,,,,9,39.29582900,-76.63391124,,,,,,,Strategy Center,,,,d63b0e,religious-christian,,,missing,MD,house,medium,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.295829,-76.6339112445029",,,,7/20/2017 12:48pm
Everett J. Waring Residence,building,Extant,507 Mosher Street,Upton,Baltimore,21217,,,,,Dwelling,Everett J. Waring,,"Everett J. Waring lived at this property on Mosher Street from 1890 to 1897. On October 10, 1885, Everett J. Waring became the first African American lawyer admitted to the bar of the Supreme Bench in Baltimore, Maryland. Waring was a prominent civic leader in the black community during his twelve-year residence in Baltimore. He maintained a successful law practice, dealt in real estate, and established the Lexington Savings Bank. This bank was the first financial institution in Maryland founded and managed by African Americans. Studying Waring's experiences adds another dimension to our understanding of the fascinating history of African Americans in late 19th-century Baltimore. (Source: Maryland State Archives: http://msa.maryland.gov/msa/stagser/s1259/121/6050/html/17455000.html)",,,11,39.30329760,-76.63087760,checked,checked,,,,,Prominent Person,1870-1905,,,,building,,,notes,MD,,medium,,,Y,,,,,,,"https://maps.google.com/?layer=c&cbll=39.3032976,-76.6308776",Mosher,,,7/20/2017 12:48pm
Evergreen (Evergreen Lawn/Greater Rosemont),district,Extant,,Evergreen Lawn,Baltimore,,,,,,Neighborhood,,,,,,9,39.29710000,-76.65498800,,,,,,,,,,,d63b0e,town,,,missing,MD,,medium,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.2971,-76.654988",,,,7/20/2017 12:48pm
Faith Baptist Church,building,Extant,833 N. Bond Street,Gay Street,Baltimore,21205,,,,,,,,,,,12,39.30013500,-76.59603500,,,,,,,,,,,d63b0e,religious-christian,,,,MD,,medium,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.300135,-76.596035",,,,7/20/2017 12:48pm
Fifth Regiment Armory,building,Extant,219 29th Division Street,Madison Park,Baltimore,21201,,https://en.wikipedia.org/wiki/Fifth_Regiment_Armory,,,,,,,,,11,39.30338500,-76.62157800,,,,,,,,,,,,,,,,MD,,,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.303385,-76.621578",,,,7/20/2017 12:48pm
Five Oaks Swimming Club,landscape,Extant,1817 Frederick Road,,Catonsville,21228,,,,,,,,"In August 1963, CORE picketed at a Catonsville swimming club to protest segregated facilities.",,,,39.26747400,-76.75458300,,,,,1963,,,1954-1968,Public Accommodation,,d63b0e,swimming,,,notes,MD,,,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.267474,-76.754583",,,,7/20/2017 12:48pm
Foote's Hill,district,Unknown,,,Baltimore County,,,,,,,,,"Foote's Hill traces its origns back to the construction of the Brazil African Methodist Episcopal Church, which included a schoolhouse, in the 1870s by freed slaves. The buildings in this neighborhood date from the 1870s through 1930s.",,,,39.48370700,-76.62775000,,,,,,,,,Housing,,,,,,,MD,,medium,,,,,,http://www.prattlibrary.org/uploadedImages/www/locations/central/african_american/Map_Images/footeshill.jpg,Homes on Powers Avenue.,E.H.T. Traceries/Baltimore County Office of Planning,,"https://maps.google.com/?layer=c&cbll=39.483707,-76.62775",,,,7/20/2017 12:48pm
Ford's Theater,building,Nonextant,314-320 W. Fayette Street,Downtown,Baltimore,21202,,,,,Theatre,,,"Baltimore's NAACP chapter organized the picketing of Ford's Theater, which forced blacks to sit in a segregated section of the balcony that could only be reached from a back-alley staircase. Actors' Equity supported the protest; it stopped sending actors and plays to Ford's. In February 1948, two Morgan State College students were arrested while picketing the Ford Theater in downtown Baltimore. After years of protests, Ford’s Theatre integrated in 1952.",,,11,39.29040800,-76.62040900,,,,,,,Conflict Center,1929-1954,Public Accommodation,,f59477,theatre,,shoemaker_we_1994,notes,MD,,medium,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.290408,-76.620409",,,,7/20/2017 12:48pm
Forge Road,district,Unknown,,,Baltimore County,,,,,,,,,This historic district became an African American community in the late 19th century. Most of the houses in the district are non-historic.,,,,39.41467900,-76.42737900,,,,,,,,,Housing,,,,,,,MD,,medium,,,,,,http://www.prattlibrary.org/uploadedImages/www/locations/central/african_american/Map_Images/forgeroad.jpg,Early to mid 20th century house on Forge Road.,E.H.T. Traceries/Baltimore County Office of Planning,,"https://maps.google.com/?layer=c&cbll=39.414679,-76.427379",,,,7/20/2017 12:48pm
Fort Smallwood Park (Municipal Beaches),landscape,Partial,9500 Fort Smallwood Road,,Pasadena,21122,,https://en.wikipedia.org/wiki/Fort_Smallwood_Park,,,Park,,,"In 1950, a group of several black adults and children arrived at Fort Smallwood and attempted to purchase tickets for entrance to the public beach. [...] In a stunning example of avoidance, the Superintendent of Parks Charles A. Hook explained to the Afro- American that Fort Smallwood's grounds were open to all citizens, in accordance to Park Rule #1, even though the beach was segregated. Blacks could enter the gates of the park, but could not gain entrance to the bathhouse and were barred from the sand. Linwood G. Koger, Jr., a lawyer for the NAACP, took the case to court. The city's main defense was that ""the park, with the exception of the beach, had always been open to Negroes and that prior to last August no Negroes had asked to use the beach."" In March 1951, Judge William Calvin Chesnut, the same judge who had heard the case on golf segregation in Baltimore, ordered that the Fort Smallwood beach must be opened to blacks as no comparable facility was available to them. {Incomplete description}",,,,39.16299100,-76.48216900,,,,,1950,1951,Conflict Center,1929-1954,Public Accommodation,,d63b0e,swimming,,sarapatenaude_playing_2011,excerpt,MD,,medium,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.162991,-76.482169",,,,7/20/2017 12:48pm
Frederick Douglass House,building,Nonextant,1815 Aliceanna Street,Fells Point,Baltimore,21231,,,,B-95,Dwelling,Frederick Douglass,,,,Fells Point,1,39.28347390,-76.59051605,,,,,,,,,,Auld House,f59477,building,,Maryland Inventory of Historic Places,missing,MD,house,medium,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.2834739,-76.590516046276",,,,7/20/2017 12:48pm
George B. Murphy Residence,building,Extant,1404 Argyle Avenue,Upton,Baltimore,21217,,,,,Dwelling,George B. Murphy,,,,,11,39.30052860,-76.63295504,,checked,,,,,Prominent Person,,,,d63b0e,building,,,missing,MD,house,medium,Coleman Directories,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.3005286,-76.6329550393287",,,,7/20/2017 12:48pm
George W. Biddle Residence,building,Nonextant,1317 N. Calhoun Street,Sandtown-Winchester,Baltimore,21217,,,,,Dwelling,George W. Biddle,,,,,7,39.30376871,-76.64032547,,,,,,,Prominent Person,,,,f59477,building,,,missing,MD,house,medium,Coleman Directories,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.3037687142857,-76.6403254693878",,,,7/20/2017 12:48pm
George W. F. McMechen House,building,Extant,1834 McCulloh Street,Madison Park,Baltimore,21217,,,,,,George W. F. McMechen,,Residence of George W. F. McMechen and his family from 1916 to 1918. McMechen attempt to purchase a different property on this same block sparked the debate that led to the Poe Law,,Bolton Hill,11,39.30862000,-76.63254000,,,,,,,,,Housing,,,building,,Email from Donna Cypress,,MD,house,medium,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.30862,-76.63254",McCulloh,,,7/20/2017 12:48pm
George W. King/Abraham Briscoe House,building,Extant,1232 Druid Hill Avenue,Upton,Baltimore,21217,,,,,Dwelling,,,"As late as 1930, 1232 Druid Hill Avenue served as a residence, then home to Mrs. Ida Barber (née King). That same year, the property is listed as a residence by Rev. J.E. Lee. By 1934, the property was listed in local directories as the office of W. Owens Stewart in his role as Superintendent of Mt. Zion Cemetery for the Baltimore A. M. E. Conference. By the late 1980s, the building had been turned into the Bethel Bible Institute and also provided space for a Women’s Resource and Development Center and the Bethel Christian School.",1868,,11,39.30172300,-76.62859500,checked,checked,,,,,,"1870-1905,1905-1929",Housing,,d63b0e,building,,,notes,MD,,,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.301723,-76.628595",Druid Hill,,,7/20/2017 12:48pm
Gilmor Homes,district,Extant,N. Mount Street and Presbury Street,Sandtown-Winchester,Baltimore,,,,,B-4485,Public housing,,,,,,7,39.30797400,-76.64487500,,,,,,,,"1929-1954,1954-1968,1968-1976",,,d63b0e,town,,Maryland Inventory of Historic Places,missing,MD,3,medium,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.307974,-76.644875",,,,7/20/2017 12:48pm
Glen Arm,district,Unknown,,,Baltimore County,,,,,,,,,"This community grew around the Waugh Church, which may have held services as early as 1829. Its first chapel was constructed in 1846. Most homes in the neighborhood are non-historic.",,,,39.43907700,-76.49110800,,,,,,,,,Housing,,,,,,,MD,,medium,,,,,,http://www.prattlibrary.org/uploadedImages/www/locations/central/african_american/Map_Images/glenarm.jpg,"Waugh Chapel, built in 1900.",E.H.T. Traceries/Baltimore County Office of Planning,,"https://maps.google.com/?layer=c&cbll=39.439077,-76.491108",,,,7/20/2017 12:48pm
Goodwood - Hyde Park,district,Unknown,,,Baltimore County,,,,,,,,,Goodwood - Hyde Park was developed as a suburban escape from Baltimore. Most of the homes were built in the 1930s and 1950s.,,,,39.28967100,-76.44531700,,,,,,,,,Housing,,,,,,,MD,,medium,,,,,,http://www.prattlibrary.org/uploadedImages/www/locations/central/african_american/Map_Images/goodwoodhydepark.jpg,Representative houses in Goodwood - Hyde Park.,E.H.T. Traceries/Baltimore County Office of Planning,,"https://maps.google.com/?layer=c&cbll=39.289671,-76.445317",,,,7/20/2017 12:48pm
Goucher College,district,Extant,,,Towson,,,,,,,,,"Goucher students began their involvement in the civil rights movement in 1960 through GIG protests and the Hopkins sit-ins. Beginning in spring 1960 the student body maintained an active dialogue about racial issues and the school's role in the civil rights movement. As at Morgan State and Hopkins, the earliest targets at Goucher for independent activism were segregated restaurants near campus. By 1962 the base of support for civil rights involvement was extensive enough for some Goucher women to launch a campaign to integrate businesses in the Towson area. By polling local residents, they found that 85 percent of Towson consumers would continue to support restaurants if they desegregated. They organized a student boycott of establishments that discriminated in which more than a third of the student body participated.",,,,39.40913300,-76.59176600,,,,,1960,,,,"Education,Public Accommodation",,d63b0e,college,,robertpalumbos_student_1999,excerpt,MD,,,,,,,,,,,,,,,,7/20/2017 12:48pm
Granite,district,Unknown,,,Baltimore County,,,,,,,,,"Granite, named for the quarries that provided stone for many Baltimore buildings, was established in the early 19th century. The quarries were the primary source of employment for African Americans. The neighborhood was placed on the National Register of Historic Places in 1994.",,,,39.34176600,-76.85327100,,,,,,,,,Housing,,,,,,,MD,,medium,,,,,,http://www.prattlibrary.org/uploadedImages/www/locations/central/african_american/Map_Images/granite.jpg,"Granite Historic Survey District, in rural Baltimore County.",E.H.T. Traceries/Baltimore County Office of Planning,,"https://maps.google.com/?layer=c&cbll=39.341766,-76.853271",,,,7/20/2017 12:48pm
Gwynn Oak Amusement Park,landscape,Partial,6010 Gwynn Oak Avenue,,Gwynn Oak,21207,,https://en.wikipedia.org/wiki/Gwynn_Oak_Park,,,Park,,,"In the 1960s, local protesters (including several prominent black church leaders) protested to challenge discriminatory policies at the privately-owned Gwynn Oak Amusement Park.",,,,39.32630700,-76.71757100,,,,,,,Conflict Center,1954-1968,Public Accommodation,,d63b0e,park2,,sarapatenaude_playing_2011,notes,MD,8,medium,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.326307,-76.717571",,,,7/20/2017 12:48pm
Halethorpe,district,Unknown,,,Baltimore County,,,,,,,,,"Halethorpe was a residential neighborhood for African Americans, beginning in the early 20th century. Before that, the land was owned by the B&O Railroad.",,,,39.23730600,-76.68191000,,,,,,,,,Housing,,,,,,,MD,,medium,,,,,,http://www.prattlibrary.org/uploadedImages/www/locations/central/african_american/Map_Images/halethorpe.jpg,House in Halethorpe.,E.H.T. Traceries/Baltimore County Office of Planning,,"https://maps.google.com/?layer=c&cbll=39.237306,-76.68191",,,,7/20/2017 12:48pm
Harlem Park,district,Extant,,Harlem Park,Baltimore,,,,,,Neighborhood,,,,,,9,39.29724900,-76.63982700,,,,,,,,"1905-1929,1929-1954,1954-1968,1968-1976",Housing,,d63b0e,town,,,missing,MD,,medium,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.297249,-76.639827",,,,7/20/2017 12:48pm
Harlem Park Elementary/Middle School,building,Extant,1401 W. Lafayette Avenue,Harlem Park,Baltimore,21217,,,,,School,,,,,,9,39.29891800,-76.64030300,,,,,,,Conflict Center,,Housing,,d63b0e,school,,,missing,MD,house,medium,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.298918,-76.640303",,,,7/20/2017 12:48pm
Harlem Park Historic District,district,Extant,Edmondson Avenue,Harlem Park,Baltimore,,,,,B-1320,District,,,,,,9,39.29725000,-76.63983000,,,,,,,,,Housing,,d63b0e,town,,Maryland Inventory of Historic Places,missing,MD,,medium,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.29725,-76.63983",,,,7/20/2017 12:48pm
Harry O. Wilson Bank,building,Extant,Franklin Street and Jasper Street,Seton Hill,Baltimore,21201,,,,,Bank,,,"Wilson's Bank was one of the only African American owned banks in Maryland during the early 20th century. Harry O. Wilson founded the bank following the sale of the Mutual Benefit Society (an insurance company Wilson estabilshed in 1903) to the North Carolina Mutual Insurance Company. In the 1920s, Wilson supported the development of Wilson Park—an affluent black suburbs near Cold Spring Lane and The Alameda. He also served on the prestigious Oppenheimer Commission assigned to study the People's Court and to recommend legislation to reform that institution.",,Seton Hill,11,39.29487300,-76.62194900,,,,,,,,,,,d63b0e,bank,,,excerpt,MD,,medium,Coleman Directories,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.294873,-76.621949",,,,7/20/2017 12:48pm
Harry O. Wilson Residence,building,Extant,4423 Craddock Avenue,Wilson Park,Baltimore,,,,,,Dwelling,"""Harry O. Wilson, Sr.""",,,,,4,39.34458370,-76.60149614,,,,,,,,,,,d63b0e,building,,,missing,MD,house,medium,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.3445837,-76.6014961389152",,,,7/20/2017 12:48pm
Harry Sythe Cummings (Office),building,Unknown,219 Courtland Street,Downtown,Baltimore,,,,,,,,,Approximate location of 219 Courtland Street - office for Harry Sythe Cummings (African-American lawyer and City Councilman) in 1915,,,11,39.29158116,-76.61332548,,,,,,,,,,,#7e7e7e,suitcase,,,,MD,,medium,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.29158116,-76.61332548",,,,7/20/2017 12:48pm
Harry Sythe Cummings Residence/Freedom House,building,Nonextant,1234 Druid Hill Avenue,Upton,Baltimore,21217,https://explore.baltimoreheritage.org/items/show/529,,529,,Dwelling,"Harry S. Cummings,Ida Rebecca Cummings",,An earlier residence of Harry Sythe Cummings and his family with possible associations with Lillie Mae Carroll Jackson. The building is now owned by Bethel AME Church and has been condemned by the city after a partial collapse. This building is threatened by neglect.,,,11,39.30183500,-76.62852000,,,,2015,,,Prominent Person,"1870-1905,1905-1929,1929-1954,1954-1968,1968-1976","Education,Housing,Voting",,d63b0e,building,,Email from Marti Pitrelli,,MD,,medium,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.301835,-76.62852",Druid Hill,,,7/20/2017 12:48pm
Hecht-May Company,building,Extant,118 N. Howard Street,Downtown,Baltimore,21201,https://explore.baltimoreheritage.org/items/show/112,,112,,Commercial building,,,"In the 1940s, the Afro American newspaper highlighted discrimination against black shoppers at downtown department stores with their Orchids & Onions campaign naming department stores that discriminated against black customers, including the May Company, Stewart’s Department Store, and Hutzler’s, as “onions.” On March 26 1960, black student activists from Morgan State University attempted to purchase food at department store restaurants at the Northwood Shopping Center and downtown (Stewart's, Hutzler's, May Company, and Hoschild Kohn). They were only successful at Hochschild Kohn but this action led to the desegration of Hutzler's on April 17, 1960 and other downtown locations soon after.",,,11,39.29193000,-76.61916000,,,,,,,,"1929-1954,1954-1968",Public Accommodation,,d63b0e,shop,,,draft,MD,,medium,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.29193,-76.61916",,,,7/20/2017 12:48pm
Heritage United Church of Christ,building,Extant,3106 Liberty Heights Avenue,Ashburton,Baltimore,21215,,,,,Religious building,,,,,Ashburton,7,39.32371130,-76.66862730,,,,,,,Strategy Center,,,,d63b0e,religious-christian,,,missing,MD,house,medium,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.3237113,-76.6686273",,,,7/20/2017 12:48pm
Historic Frederick Douglass High School,building,Extant,1601 N. Calhoun Street,Sandtown-Winchester,Baltimore,21217,,,,B-4210,School,,,,1924,,7,39.30636490,-76.64120322,,,1929-1954,,,,,"1905-1929,1929-1954,1954-1968",Education,"School No. 450, Colored High School",d63b0e,school,,Maryland Inventory of Historic Places,missing,MD,house,medium,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.3063649,-76.641203222723",,,,7/20/2017 12:48pm
Homes on 500 block of St. Paul Street,district,Unknown,517 Saint Paul Street,Mount Vernon,Baltimore,21202,,,,,,,,"According to the Afro-American Newspaper (1926): ""Even the aristocratic St. Paul street section once knew prominent residents of the race. John Henry Smith lived for some time at 517 St. Paul street, and this was the childhood home of his daughter who is now Mrs. Amie Williams. In this same block also lived the McCabbs, Jakes, the Browns, the Sykes and James Harris, caterer. This block was sandwiched in between some of the wealthiest white families in the city. Here also Mrs. Elizabeth Sykes conducted a school to which many prominent persons went.""",,,11,39.29555837,-76.61427498,,,,,,,,"1870-1905,1905-1929",,,#7e7e7e,town,,,,MD,,medium,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.29555837,-76.61427498",,,,7/20/2017 12:48pm
Hooper's Restaurant,building,Nonextant,Charles Street and Fayette Street,Downtown,Baltimore,21202,,,,,Restaurant,,,"On June 17, 1960, Bell and eleven other students traveled downtown to Hooper's Restaurant on Greenmount Avenue and 31st Streets, where they sat down and requested service and were subsequently arrested for violating state trespass laws. NAACP lawyers saw the matter as a perfect test case and appealed the decision. Bell vs. Maryland was eventually argued before the U.S. Supreme Court by a legal team that included Thurgood Marshall and Juanita Jackson Mitchell. The decision was finally reversed in 1965. Demonstrators staged a sit-in at Hooper's Restaurant on November 11, 1961 – one of several sit-ins staged throughout the city involving hundreds of protestors on that same date – to protest racial segregation by restaurants. Thirty-three people were arrested and all but nine of the arrestees were freed on bail the following day.",,,11,39.29038400,-76.61519900,,,,,1960,,,1954-1968,Public Accommodation,,f59477,restaurant,,robertpalumbos_student_1999; shoemaker_we_1994,excerpt,MD,3,medium,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.290384,-76.615199",,,,7/20/2017 12:48pm
Hopewell Avenue,district,Unknown,,,Baltimore County,,,,,,,,,"This small neighborhood was settled in the early 20th century, though one house dates to 1875. There is one place of worship, the New First Baptist Church.",,,,39.31368100,-76.44797800,,,,,,,,,Housing,,,,,,,MD,,medium,,,,,,http://www.prattlibrary.org/uploadedImages/www/locations/central/african_american/Map_Images/hopewellavenue.jpg,Hopewell Avenue streetscape.,E.H.T. Traceries/Baltimore County Office of Planning,,"https://maps.google.com/?layer=c&cbll=39.313681,-76.447978",,,,7/20/2017 12:48pm
Horizon House,building,Extant,1101 N. Calvert Street,Mid-Town Belvedere,Baltimore,21202,,,,,,,CORE (Baltimore Chapter),"For three Sundays, starting April 17, 1966, local CORE members demonstrated outside of Horizon House at Calvert and Chase Streets to challenge the luxury apartment building's whites-only residential policy. On Sunday, May 1, approximately twenty-five Ku Klux Klan (KKK) members, with German Shepherd dogs, yelled racial epithets at seventy CORE demonstrators and promised to return in greater numbers the next Sunday. [...] By the end of May, the picketing protests would result in McKeldin and Gelston calling a meeting at city hall with owners of nine luxury apartment buildings; that meeting led to an agreement by owners to rent to black tenants.",,Mount Vernon,12,39.30269200,-76.61292900,,,,,1966,,,1954-1968,Housing,,d63b0e,building,,"joseph_neighborhood_2010, p. 220-221",,MD,,,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.302692,-76.612929",,,,7/20/2017 12:48pm
House of Good Shepherd,building,Nonextant,Calverton Road and Franklin Street,Penrose/Fayette Street Outreach,Baltimore,21223,,,,,Institutional dwelling,,,"In 1892, the Sisters of the Good Shepherd established a home for young women at Calverton Road and Franklin Street. In 1941, the facility (then known as the Good Shepherd Home for Colored Girls and briefly home to jazz singer Billie Holiday) housed over 100 homeless young women. Most of the women arrived by order of a juvenile court judge but others were sent by parents or came on their own. The home continued on Franklin Street until 1970 when it moved to its present location in Baltimore County.",,,9,39.29314500,-76.66135700,,,,c. 1970,,,,,,,f59477,prison,,,draft,MD,,medium,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.293145,-76.661357",,,,7/20/2017 12:48pm
House of Reformation for Colored Boys,building,Unknown,Prince George's County near Cheltenham Station on the Baltimore and Potomac Railroad,,Baltimore,,,,,,Institutional dwelling,,,"In 1870, Maryland established the House of Reformation and Instruction for Colored Children building on a ""Memorial of the Grand Jury of Baltimore City Praying that a Place of Punishment may be Provided for Minor Colored Children” from February 5, 1867. The new institution had sixteen managers (including two appointed directly by the Governor), a special exemption from taxes on their building and grounds and an appropriation of $5,000 in annual funding for two years (contingent on another $30,000 in private fundraising). In 1937, Maryland took over the House of Reformation at Cheltenham and renamed the facility as the Cheltenham School for Boys. This acquisition was part of a state effort to covert all private reform schools to public administration.",1870,,,38.73723100,-76.84056800,,,,,1870,1976,,"1831-1870,1870-1905,1905-1929,1929-1954",Criminal Injustice,,f7a38b,prison,,MSA,draft,MD,3,medium,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=38.737231,-76.840568",,,,7/20/2017 12:48pm
